RUBRO_ID;RUBRO_NOMBRE;CODIGO_CLAE
341;Fabricación de maquinaria metalúrgica;282300
342;Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción;282400
343;Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco;282500
344;Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros;282600
345;Fabricación de maquinaria para la industria del papel y las artes gráficas;282901
346;Fabricación de maquinaria y equipo de uso especial n.c.p.;282909
347;Fabricación de vehículos automotores;291000
348;Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques;292000
349;Rectificación de motores;293011
350;Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p.;293090
351;Construcción y reparación de buques;301100
352;Construcción y reparación de embarcaciones de recreo y deporte;301200
353;Fabricación y reparación de locomotoras y de material rodante para transporte ferroviario;302000
354;Fabricación y reparación de aeronaves;303000
355;Fabricación de motocicletas;309100
356;Fabricación de bicicletas y de sillones de ruedas ortopédicos;309200
357;Fabricación de equipo de transporte n.c.p.;309900
358;Fabricación de muebles y partes de muebles, principalmente de madera;310010
359;Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plástico, etc.);310020
360;Fabricación de somieres y colchones;310030
361;Fabricación de joyas finas y artículos conexos;321011
362;Fabricación de objetos de platería;321012
363;Fabricación de bijouterie;321020
364;Fabricación de instrumentos de música;322001
365;Fabricación de artículos de deporte;323001
366;Fabricación de juegos y juguetes;324000
367;Fabricación de lápices, lapiceras,  bolígrafos, sellos y artículos similares para oficinas y artistas;329010
368;Fabricación de escobas, cepillos y pinceles;329020
369;Fabricación de carteles, señales e indicadores  -eléctricos o no-;329030
370;Fabricación de equipo de protección y seguridad, excepto calzado;329040
371;Industrias manufactureras n.c.p.;329090
372;Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo;331101
373;Reparación y mantenimiento de maquinaria de uso general;331210
374;Reparación y mantenimiento de maquinaria y equipo de uso agropecuario y forestal;331220
375;Reparación y mantenimiento de maquinaria de uso especial n.c.p.;331290
376;Reparación y mantenimiento de maquinaria y aparatos eléctricos;331400
377;Reparación y mantenimiento de máquinas y equipo n.c.p.;331900
378;Instalación de maquinaria y equipos industriales;332000
379;Generación de energía térmica convencional;351110
380;Generación de energía térmica nuclear;351120
381;Generación de energía hidráulica;351130
382;Generación de energía n.c.p.;351190
383;Transporte de energía eléctrica;351201
384;Comercio mayorista de energía eléctrica;351310
385;Distribución de energía eléctrica;351320
386;Fabricación de gas y procesamiento de gas natural;352010
387;Distribución de combustibles gaseosos por tuberías;352020
388;Suministro de vapor y aire acondicionado;353001
389;Captación, depuración y distribución de agua de fuentes subterráneas;360010
390;Captación, depuración y distribución de agua de fuentes superficiales;360020
391;Servicios de depuración de aguas residuales, alcantarillado y cloacas;370000
392;Recolección, transporte, tratamiento y disposición final de residuos no peligrosos;381100
393;Recolección, transporte, tratamiento y disposición final de residuos peligrosos;381200
394;Recuperación de materiales y desechos metálicos;382010
395;Recuperación de materiales y desechos no metálicos;382020
396;Descontaminación y otros servicios de gestión de residuos;390000
397;Construcción, reforma y reparación de edificios residenciales;410011
398;Construcción, reforma y reparación de edificios no residenciales;410021
399;Construcción, reforma y reparación de obras de infraestructura para el transporte;421000
400;Perforación de pozos de agua;422100
401;Construcción, reforma y reparación de redes distribución de electricidad, gas, agua, telecomunicaciones y de otros servicios públicos;422200
402;Construcción, reforma y reparación de obras hidráulicas;429010
403;Construcción de obras de ingeniería civil n.c.p.;429090
404;Demolición y voladura de edificios y de sus partes;431100
405;Movimiento de suelos y preparación de terrenos para obras;431210
406;Instalación de sistemas de iluminación, control y señalización eléctrica para el transporte;432110
