cuenta_id_legacy;empresa_id_legacy;codigo_legacy;nombre_legacy;concepto_canonico;preferida
261;21;1051;MUEBLES Y UTILES - BIENES DE USO;MUEBLES Y UTILES - BIENES DE USO;1
262;21;1052;MAQUINARIA - BIENES DE USO;MAQUINARIA - BIENES DE USO;1
263;21;1053;INMUEBLES - BIENES DE USO;INMUEBLES - BIENES DE USO;1
264;21;5020;RODADOS - GASTOS DE MANTENIMIENTO;RODADOS - GASTOS DE MANTENIMIENTO;1
265;21;5021;MUEBLES Y UTILES - GASTOS DE MANTENIMIENTO;MUEBLES Y UTILES - GASTOS DE MANTENIMIENTO;1
266;21;5022;MAQUINARIA - GASTOS DE MANTENIMIENTO;MAQUINARIA - GASTOS DE MANTENIMIENTO;1
267;21;5023;INMUEBLES - GASTOS DE MANTENIMIENTO;INMUEBLES - GASTOS DE MANTENIMIENTO;1
268;21;5024;COMPRA DE BIENES USADOS A CF;COMPRA DE BIENES USADOS A CF;1
269;21;1059;INSTALACIONES - BIENES DE USO;INSTALACIONES - BIENES DE USO;1
270;21;5025;INSTALACIONES - GASTOS DE MANTENIMIENTO;INSTALACIONES - GASTOS DE MANTENIMIENTO;1
271;19;5004;SERVICIOS Y TASAS;SERVICIOS Y TASAS;1
272;19;9999;OTROS;OTROS;1
287;16;4000;VENTAS;VENTAS;1
288;16;5000;COMPRAS;COMPRAS;1
289;16;5001;COMISION TARJETAS DE CREDITO;COMISION TARJETAS DE CREDITO;1
290;16;5002;COMBUSTIBLES Y LUBRICANTES;COMBUSTIBLES Y LUBRICANTES;1
291;16;5003;FLETES Y CORREO;FLETES Y CORREO;1
292;16;5005;LIBRERIA Y PAPELERIA;LIBRERIA Y PAPELERIA;1
293;16;5006;HONORARIOS PROFESIONALES;HONORARIOS PROFESIONALES;1
294;16;5007;ALQUILERES PAGADOS;ALQUILERES PAGADOS;1
295;16;5008;SEGUROS PAGADOS;SEGUROS PAGADOS;1
296;16;5010;GASTOS GENERALES;GASTOS GENERALES;1
297;16;5011;SERVICISO INFORMATICOS;SERVICIOS INFORMATICOS;1
298;16;5012;CANON;CANON;1
299;16;5013;SERVICIOS JURIDICOS;SERVICIOS JURIDICOS;1
300;16;5030;BANCO NACION - INTERES POR DESCUBIERTO;BANCO NACION - INTERES POR DESCUBIERTO;1
301;16;5009;INTERESES BANCARIOS;INTERESES BANCARIOS;1
302;16;5031;BANCO NACION - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO NACION - GASTOS DE MANTENIMIENTO DE CUENTA;1
303;16;5032;BANCO NACION - INTERESES POR PRESTAMOS;BANCO NACION - INTERESES POR PRESTAMOS;1
304;16;5033;BANCO SANTANDER - INTERES POR DESCUBIERTO;BANCO SANTANDER - INTERES POR DESCUBIERTO;1
305;16;5036;BANCO GALICIA - INTERES POR DESCUBIERTO;BANCO GALICIA - INTERES POR DESCUBIERTO;1
306;16;5039;BBVA FRANCES - INTERES POR DESCUBIERTO;BBVA FRANCES - INTERES POR DESCUBIERTO;1
307;16;5042;BANCO CREDICOOP - INTERES POR DESCUBIERTO;BANCO CREDICOOP - INTERES POR DESCUBIERTO;1
308;16;5045;BANCO HSBC - INTERES POR DESCUBIERTO;BANCO HSBC - INTERES POR DESCUBIERTO;1
309;16;5048;BANCO PATAGONIA - INTERES POR DESCUBIERTO;BANCO PATAGONIA - INTERES POR DESCUBIERTO;1
310;16;5034;BANCO SANTANDER - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO SANTANDER - GASTOS DE MANTENIMIENTO DE CUENTA;1
311;16;5037;BANCO GALICIA - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO GALICIA - GASTOS DE MANTENIMIENTO DE CUENTA;1
312;16;5043;BANCO CREDICOOP - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO CREDICOOP - GASTOS DE MANTENIMIENTO DE CUENTA;1
313;16;5046;BANCO HSBC - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO HSBC - GASTOS DE MANTENIMIENTO DE CUENTA;1
314;16;5049;BANCO PATAGONIA - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO PATAGONIA - GASTOS DE MANTENIMIENTO DE CUENTA;1
315;16;5035;BANCO SANTANDER - INTERESES POR PRESTAMOS;BANCO SANTANDER - INTERESES POR PRESTAMOS;1
316;16;5038;BANCO GALICIA - INTERESES POR PRESTAMOS;BANCO GALICIA - INTERESES POR PRESTAMOS;1
317;16;5041;BBVA FRANCES - INTERESES POR PRESTAMOS;BBVA FRANCES - INTERESES POR PRESTAMOS;1
318;16;5044;BANCO CREDICOOP- INTERESES POR PRESTAMOS;BANCO CREDICOOP- INTERESES POR PRESTAMOS;1
319;16;5047;BANCO HSBC - INTERESES POR PRESTAMOS;BANCO HSBC - INTERESES POR PRESTAMOS;1
320;16;5050;BANCO PATAGONIA- INTERESES POR PRESTAMOS;BANCO PATAGONIA- INTERESES POR PRESTAMOS;1
321;16;1050;RODADOS - BIENES DE USO;RODADOS - BIENES DE USO;1
322;16;1051;MUEBLES Y UTILES - BIENES DE USO;MUEBLES Y UTILES - BIENES DE USO;1
323;16;1052;MAQUINARIA - BIENES DE USO;MAQUINARIA - BIENES DE USO;1
324;16;1053;INMUEBLES - BIENES DE USO;INMUEBLES - BIENES DE USO;1
325;16;5020;RODADOS - GASTOS DE MANTENIMIENTO;RODADOS - GASTOS DE MANTENIMIENTO;1
326;16;5021;MUEBLES Y UTILES - GASTOS DE MANTENIMIENTO;MUEBLES Y UTILES - GASTOS DE MANTENIMIENTO;1
327;16;5022;MAQUINARIA - GASTOS DE MANTENIMIENTO;MAQUINARIA - GASTOS DE MANTENIMIENTO;1
328;16;5023;INMUEBLES - GASTOS DE MANTENIMIENTO;INMUEBLES - GASTOS DE MANTENIMIENTO;1
329;16;5024;COMPRA DE BIENES USADOS A CF;COMPRA DE BIENES USADOS A CF;1
330;16;1059;INSTALACIONES - BIENES DE USO;INSTALACIONES - BIENES DE USO;1
331;16;5025;INSTALACIONES - GASTOS DE MANTENIMIENTO;INSTALACIONES - GASTOS DE MANTENIMIENTO;1
347;24;4000;VENTAS;VENTAS;1
348;24;5000;COMPRAS;COMPRAS;1
349;24;5001;COMISION TARJETAS DE CREDITO;COMISION TARJETAS DE CREDITO;1
350;24;5002;COMBUSTIBLES Y LUBRICANTES;COMBUSTIBLES Y LUBRICANTES;1
351;24;5003;FLETES Y CORREO;FLETES Y CORREO;1
352;24;5005;LIBRERIA Y PAPELERIA;LIBRERIA Y PAPELERIA;1
353;24;5006;HONORARIOS PROFESIONALES;HONORARIOS PROFESIONALES;1
354;24;5007;ALQUILERES PAGADOS;ALQUILERES PAGADOS;1
355;24;5008;SEGUROS PAGADOS;SEGUROS PAGADOS;1
356;24;5010;GASTOS GENERALES;GASTOS GENERALES;1
357;24;5011;SERVICISO INFORMATICOS;SERVICIOS INFORMATICOS;1
